사업자번호,업체명,대표자명,주소,상세주소,대표전화,팩스,홈페이지
711-82-00047,한빛사회적협동조합,안기운,경기도 남양주시 수동면 소래비로433번길 4-22,,031-591-2111,031-591-2129,http://www.hscoop.or.kr
712-81-01076,(주)티엘머티리얼,김경환,경기도 광주시 곤지암읍 열미길 80,,031-765-9994,070-8277-7760,http://
715-86-00367,(주)조은컴퍼니,조은경,"경기도 수원시 팔달구 인계로138번길 8, 308호(인계동, 리슈빌S)",,031-235-1707,031-624-0249,www.jecompany.co.kr
715-88-00250,(주)다인폼,최석원,경기도 안성시 서운면 삼사로 2233,,031-675-2005,031-672-2004,http://
718-88-00088,센서택(주),김병창,"서울특별시 성동구 둘레7가길 16, 1층(성수동1가)",,02-467-4787,02-465-4787,
721-81-01139,주바이오(주),김학상,"경기도 포천시 호국로1283번길 12, 마동(자작동)",,070-4244-3744,031-541-3338,http://
721-82-00156,사회적협동조합 함께걸음복지재단,김동우,"경기도 수원시 영통구 신원로 306, 1동","B3층 B311호(원천동, 영통이노플렉스-1단지)",031-8002-3344,031-8002-3346,https://pacewith.kr/
723-87-01011,(주)트러스콘,김복자,경기도 화성시 양감면 초록로 449,,031-354-2366,031-354-3593,http://
723-87-01404,(주)누리나루,안애영,"경기도 하남시 조정대로 45, 에프1023호(풍산동, 미사센텀비즈)",,031-791-8922,031-5175-6051,http://
723-88-01449,(주)대한이엔씨,이미경,"경상남도 김해시 번화1로80번길 15, 8층 601호 (대청도, 다성빌딩)",,055-314-6117,055-314-6118,http://
724-81-00013,(주)신화에이앤티,지은주,"대구광역시 수성구 시지로 25-2, 1층 일부(시지동)",,053-793-0450,053-793-0444,http://
727-81-00837,(주)이지엠앤알바이오,정욱,"충청남도 당진시 정미면 대학로 1, 322호(산학협력관)",,041-355-8270,041-355-8271,http://
728-60-00247,티머스,"유연순, 전지환","경기도 남양주시 화도읍 비룡로411번길 99-10, 101",,031-523-3017,031-523-3018,http://
140-81-07071,(주)가나개발,정봉수,경기도 화성시 정남면 시청로 1560-42,,031-8059-0029,031-8059-0098,http://
140-81-12841,(주)대흥화학,오석,경기도 화성시 마도면 청원산단8길 127,,031-356-2061,031-356-0072,http://
140-81-13670,나노인더스(주),조득휘,경기도 김포시 월곶면 고정로 227,,031-988-9574,031-988-9575,http://
140-81-21511,(주)베스트비,오재철,"경기도 광명시 하안로 108, 505 (소하동,에이스광명타워)",,02-897-7935,031-498-8095,bestbee.co.kr
140-81-32871,(주)효광이앤씨,김양현,"경기도 화성시 장안면 수정로 189, 1동",,02-3666-2070,02-2684-2070,http://www.hyokwang-enc.com
140-81-35688,(주)제이앤피테크,최영희,경기도 부천시 원미로 205,"5층  508호, 509호(춘의동, 삼륭인더스파크)",070-4137-4038,032-613-4038,http://
503-86-07146,대경폴리켐(주),함민정,"대구광역시 달서구 이곡서로 36 (이곡동, 4층)",,054-285-1285,054-285-7066,
503-86-09936,(주)앤우드,김명진,대구광역시 달서구 성서로 264,,053-582-9519,053-583-9519,http://nwood.co.kr
503-86-10729,(주)흥신,이보성,경상북도 고령군 성산면 개경포로 2118,,053-965-0103,053-965-3103,
503-86-11859,(주)성지,한갑수,경상북도 고령군 쌍림면 방아실길 67,,054-956-9488,054-956-9490,http://
503-86-12334,(주)서우,손민희,경상북도 칠곡군 왜관읍 공단로9길 36,,053-573-5050,053-526-4567,http://www.globalseowoo.com/main/main.html
126-86-17277,그린계기(주),고명희,경기도 고양시 일산동구 장진천길46번길 45 (설문동),,031-631-5200,031-631-5313,
126-86-17879,(주)미륭이엔씨,김용문,경기도 광주시 곤지암읍 독고개길 136,,031-762-7565,031-762-8686,
126-86-19130,(주)대진건설산업,김철민,경상남도 사천시 축동면 두량로 155,,055-855-1799,055-855-1332,http://
126-86-20258,(주)킴스코파쎄,반용자,"경기도 안산시 단원구 해봉로 272-13 (신길동, 제101동)",,031-498-0877,031-498-8798,http://www.kimscoface.com
409-81-90538,(주)폼피아,박상은,전라남도 장성군 삼계면 번창길 37,,061-394-3811,061-394-3813,http://www.foampia.com
409-81-91823,(주)태웅산업,이종수,전라남도 해남군 옥천면 농공단지길 36,,062-571-2557,062-251-2557,
409-81-93379,(주)이도,최정훈,인천광역시 서구 드림로 174,,02-2084-2212,02-2084-2249,http://www.yido.co.kr
409-86-04129,(주)한림연,정경환,"광주광역시 동구 중흥로 195, 2층 (계림동)",,070-7523-4602,0303-3446-4602,
409-86-08464,(주)더윈도우,마정심,경기도 안성시 공도읍 대신두길 103,,031-653-8004,031-656-8005,
409-86-18507,네오마루(주),"윤규한,고순석",광주광역시 북구 첨단벤처소로15번길 49 (월출동),,070-7705-8989,062-945-8989,http://neomaru.co.kr
308-81-08021,(주)청암,이언구,충청남도 논산시 연산면 선비로720번길 40,,041-733-4830,041-732-3193,http://www.cheongahm.co.kr
308-81-08360,알파특수콘크리트(주),"신윤식, 김원식",충청남도 공주시 탄천면 만마름길 273,,041-855-0035,041-855-0039,
308-81-09656,대형환경(주),강희권,충청남도 논산시 벌곡면 대둔로 1290-23,,041-732-0620,041-732-0622,
308-81-21062,충남아스콘(주),조성연,충청남도 부여군 석성면 금백로 657-56,,041-836-8055,041-836-8058,
308-81-23134,(주)대원인프라,박성수,충청남도 논산시 부적면 감곡1길 72,,041-734-2900,041-732-3210,
308-81-23866,현대플러스(주),우상진,충청남도 논산시 가야곡면 가야공단길 14-23,,02-458-8181,02-458-8185,http://
311-81-40648,(주)하이센스,김광일,충청남도 당진시 송악읍 조비실길 16-101,,041-363-7912,041-363-7910,http://www.hisens.co.kr
311-81-43698,대경건설(주),김경민,"충청남도 예산군 신암면 계촌1길 4,103호",,041-331-9922,050-5341-9922,http://
311-81-44057,(주)파인텍,윤시현,충청남도 당진시 우강면 덕평로 751-13,,041-360-7000,041-363-7098,http://
311-81-49144,오케이건설(주),옥승헌,충청남도 홍성군 홍성읍 문화로 50,,041-631-4190,041-631-4190,http://
311-81-50151,당서아스콘,송성현,"충청남도 당진시 면천면 면천로 183, 1층",,041-356-4585,041-356-6101,없음
137-81-24230,푸른나래(주),김미행,경기도 김포시 월곶면 김포대로3023번길 93 (가동),,031-981-0661,031-989-1690,http://www.hdpepipe.co.kr
137-81-33777,진원산업(주),정진원,경기도 김포시 월곶면 고양로 17,,031-989-9234,031-989-9238,http://
621-86-02018,(주)세림켐텍,김상혁,부산광역시 기장군 정관읍 산단7로 78-35,,051-714-2725,051-714-2726,http://
621-86-05280,(주)유건알미늄,"전인주, 유인숙",부산광역시 기장군 정관읍 산단5로 67,,051-532-2805,051-526-9722,http://
621-86-15018,(주)백곰,이여원,경상남도 양산시 산막공단남11길 14,,055-387-1605,055-387-1626,http://
622-09-70221,광교화학,박승열,경상남도 김해시 김해대로2567번길 69,,055-332-3150,055-334-5984,http://
622-11-62762,기인화학,이옥순,경상남도 김해시 한림면 김해대로 1224-8,,055-346-0370,055-346-3460,http://
622-13-72416,선종산업,김정순,경상남도 김해시 주촌면 서부로1541번길 164-28,,055-338-4353,055-338-3296,http://
127-81-84639,코단콘크리트(주),박용수,경기도 포천시 신북면 청신로 1536,,031-531-4850,031-531-4852,http://kodan.kr/
127-81-85768,대흥에코 유한책임회사,구대환,"경기도 양주시 은현면 운하로289번길 330, 2층",,031-864-8775,031-864-8779,http://
105-86-46120,(주)대우루컴즈,윤춘기,경기도 용인시 처인구 포곡읍 금어로 238,,031-525-5046,02-532-0248,www.lucoms.com
131-81-50098,킴엔에스코리아(주),강상진,"경기도 안산시 단원구 시우로 31 (초지동,반월공단12블럭50)",,031-315-1450,031-624-9636,http://www.kimands.com
131-81-52252,(주)선광라인,홍용석,"강원도 춘천시 안마산로 213, 2층 203호 (퇴계동)",,031-986-7022,031-986-9022,
131-81-55851,(주)동일수지,"위준량,이형철",강원도 원주시 문막읍 문막공단길 95,,033-734-8560,033-746-1040,http://dieps.co.kr
131-81-56656,(주)세명테크,최승용,충청남도 아산시 둔포면 장영실로 922-5,,041-532-3707,041-532-3709,
305-81-79231,(주)삼진코리아,정태희,대전광역시 대덕구 대화로132번길 22,,042-672-3600,042-626-3142,http://www.samjinvalve.com
605-81-58460,(주)유환,이수영,부산광역시 기장군 기장읍 차성서로 147,,051-552-8863,051-552-8869,http://www.uhwan.net
605-81-72138,이에이바이오스(주),김종기,부산광역시 서구 구덕로327번길 38,(서대신동3가),043-542-0232,070-4212-0232,http://www.eabios.com
134-81-06631,스탠다드인터내셔널(유),이성철,"경기도 안산시 단원구 신원로 355(목내동, 반월공업공단 비3의 30)",,031-490-8701,031-490-8709,http://www.amstd.co.kr
101-81-65760,(주)성림교구,류성훈,"경기도 의정부시 오목로225번길 105, 604호(민락동, 뉴욕뉴욕 프라자)",,02-766-1496,02-765-4602,www.sunglim.co.kr
615-81-12516,(주)경신,김태동,경상남도 김해시 한림면 한림로343번길 39-16,,055-346-0011,055-346-0013,http://restium.kr
615-81-13494,불광목재(주),이상옥,경상남도 김해시 생림면 생림대로669번길 11,,055-323-2704,055-323-2706,
615-81-24142,신효산업(주),김상현,"서울특별시 강남구 봉은사로 610, 201호 (삼성동, 수도빌딩)",,02-508-0188,02-508-8479,http://
615-81-24458,(주)갑일오피스,정진희,경상남도 김해시 생림면 나전로161번길 149,,055-323-8881,055-323-8490,www.gabil.co.kr
615-81-24462,(주)찬우아스콘,손희권,경상남도 밀양시 산외면 산외강변로 29,,054-355-6969,055-355-5973,http://
124-81-68168,(주)네고팩,이보영,경기도 화성시 팔탄면 무하로 197,,031-356-8355,031-356-9253,
124-81-68760,(주)유영,임영학,경기도 화성시 팔탄면 3.1만세로 682,,031-352-0161,031-353-4554,http://
124-81-69018,(주)진흥중공업,박찬양,경기도 화성시 양감면 정문송산로93번길 10-27,,000-000-0000,031-8059-4431,
124-81-74864,(주)코팅코리아,최규호,전라북도 김제시 만경읍 대동공단1길 135,,063-542-4151,063-542-4152,http://
124-81-76654,후지라이테크(주),김민철,충청북도 증평군 증평읍 증평산단로 13,,043-835-8800,043-835-8899,https://www.fujilitech.com
401-81-51884,(주)원진엔지니어링,문진호,전라북도 군산시 자유무역로 63 (오식도동),,063-462-8204,063-462-8205,http://
401-85-02800,(주)유니드,정의승,전라북도 군산시 외항1길 56 (소룡동),,063-460-5114,063-460-5604,
401-85-18786,씨카코리아(주)군산,크리스티안가트만,전라북도 군산시 산단동서로 97 (오식도동),,063-471-7982,063-471-7984,http://kor.sika.com
401-87-01412,(주)케이씨씨글라스,김내환,서울특별시 서초구 강남대로 587 (잠원동),,02-2015-8579,02-2015-8805,http://
402-81-13530,(유)대림건영,윤태호,전라북도 전주시 완산구 거마서로 52-2 (삼천동1가),,063-221-0401,063-224-5792,
608-15-81382,대홍산업,홍성민,경상남도 창원시 의창구 동읍 주남로17번길 3-17,,055-587-4313,055-551-4310,
608-15-99387,보광기업,양진수,경상남도 함안군 칠서면 삼칠로 767,,055-587-2288,055-587-2286,www.bkascon.com
608-22-82638,아라(에코레이즈),변동온,경상남도 함안군 군북면 현포로 99-39,,055-583-5908,055-585-5916,
608-33-97011,인테크,이영상,경상남도 창원시 마산합포구 진북면 의림로 310,,055-271-8321,055-271-8325,
608-38-90503,문화콘크리트,현은미 외 1명,경상남도 의령군 봉수면 한지18길 12-9,,055-574-8558,055-574-8559,http://
731-88-00228,(주)이프라텍,최상만,경기도 화성시 팔탄면 버들로1362번길 60,,031-572-2569,031-529-2275,http://
731-88-01611,(주)서진바이오텍,박회연,충청남도 천안시 서북구 입장면 위례성로 1898-34,,041-588-8694,041-588-8695,http://
732-86-00611,건진건설(주),김학봉,충청남도 공주시 관골2길 24,(신광동),041-881-2457,041-751-2458,http://
734-23-00515,퓨어오투,유숙정,"경기도 하남시 조정대로 45, 3층 F 334호(풍산동, 미사센텀비즈)",,031-1833-9947,070-4015-9947,http://www.pureclo2.co.kr
734-81-00946,(주)한일합섬,이인수,"서울특별시 마포구 마포대로 155, 3층(공덕동, LG마포빌딩)",,02-791-1192,02-791-1198,http://www.hanilsf.co.kr
734-82-00360,사)해오름장애인협회 이든사업단,노영주,경기도 화성시 마도면 화성로 859-7,사단법인 해오름장애인협회 이든사업단,031-357-3770,031-357-3721,http://
736-86-00573,(주)화인아로마,박종오,"경기도 광명시 하안로 60, 디동206호 (소하동, 광명테크노파크)",,02-893-4188,02-809-5253,http://
739-86-00174,샤워플러스(주),오교선,경기도 남양주시 진접읍 양진로926번길 58-21,,031-529-3073,031-574-3073,http://www.showerplus.co.kr
,Hansgrohe SE,Hans Juergen Kalmbach,"Auestrasse 5-9 D-77761 Schiltach, Germany",,000-000-0000,,http://www.hansgrohe.co.kr
740-86-00567,(주)그린시스템,신용영,"광주광역시 북구 첨단과기로 333, 생활지원로봇센터 301호(대촌동, 광주테크노파크)",,031-8016-8968,031-8016-8969,http://
741-29-00174,다호룩스,김우석,"경기도 동두천시 평화로 2445, 2층(생연동,동광빌딩)",,031-838-1234,031-838-7736,http://www.dahoworld.com
126-81-18096,(주)신일퍼니처,이두원,경기도 여주시 산북면 광여로 1082,,02-2248-2333,02-2248-2585,www.i-shinil.co.kr
402-81-69897,(유)현영,윤병원,전라북도 정읍시 감곡면 흥방길 35,,063-571-2215,063-571-0543,http://
402-81-89364,(주)소리노,이진길,"전라북도 전주시 완산구 메너머3길 13-5, 3층(중화산동2가)",,063-288-6123,063-288-6124,
402-81-90968,글로벌코리아(주),김정헌,"경기도 성남시 중원구 둔촌대로 484, 10층 1006호(상대원동, 시콕스타워)",,063-229-7447,063-229-7448,www.gkco.kr
402-81-91818,(주)디엘시스템,오동은,전라북도 완주군 소양면 잠평1길 90-5,,063-242-0258,063-244-4328,http://
402-81-94886,(주)토로라이프,김승일,전라북도 완주군 용진면 완주로 386-22,,02-1644-4562,02-6008-1703,http://www.torolife.com
402-82-05885,사회복지법인동암,양복규,전라북도 전주시 완산구 팔달로 146 (전동),,063-225-4444,063-227-9947,
402-82-12917,(사)꿈드래장애인협회,양현섭,"전라북도 전주시 덕진구 기린대로 451,1층 (덕진동 1가)",,063-261-7023,063-261-7024,http://
402-86-02381,(주)경인씨엔씨,황숙,전라북도 군산시 서수면 상장곤윗길 54,,063-715-2900,063-715-2901,http://kyung-in.co.kr
402-86-02907,(주)지안산업,김희수,"전라북도 완주군 삼례읍 삼례로 443, 본관동 806호 (우석대학교)",,063-291-0359,063-291-0354,http://
402-86-07601,(유)태성이앤씨,이동주,전라북도 전주시 완산구 중평길 36 (평화동3가),,063-288-4589,063-236-6869,
402-86-12365,나눔스포텍(주),이강이,강원도 원주시 이화3길 14(단계동),,070-7716-4379,041-734-4377,http://
504-81-44703,(주)기은씨앤피,박영기,대구광역시 북구 검단공단로 82-11 (검단동),,053-384-9993,053-382-9990,
504-81-55461,(주)모빌퍼스,권보혜,경상북도 경산시 진량읍 공단4로 132,,053-341-0088,053-341-0085,www.mobilefurs.com
504-81-58599,금호이앤지(주),이임식,경기도 광명시 하안로 60,비동 12층 7호,053-600-8056,053-600-8058,www.escokh.com
504-81-58681,(주)중앙산업씨오,이은섭,"대구광역시 북구 검단북로2길 25 (산격동,1층)",,053-383-5741,053-383-5744,
504-81-60149,(주)크리미오,황병철,대구광역시 북구 검단북로 2-2 (산격동),,053-383-1811,053-383-1813,http://www.crimio.co.kr
504-81-62206,(주)비에스지,홍종윤,대구광역시 북구 3공단로48길 6 (노원동3가),,053-354-2222,053-354-2229,www.bsgbsg.co.kr
504-81-65940,명일폼(주),노성열,경상북도 성주군 성주읍 성주산업단지로 23,,054-931-3912,054-931-7593,www.starfom.co.kr
504-81-69136,(주)자연과함께,손성영,경상북도 칠곡군 약목면 칠곡대로 502-33,,053-321-0300,050-4844-5700,
504-81-73488,(주)한맥이앤씨,이영우,대구광역시 동구 둔산로 231 (방촌동),,053-353-0310,053-353-0420,
410-82-09373,(복)무지개공동회엠마우스산업,문성극,광주광역시 광산구 용아로 808 (안청동),,062-951-6920,062-952-6920,WWW.emmausi.com
410-82-20325,장애인생산품판매지원협회자립작업장,이용국,광주광역시 광산구 평동산단2번로 190,,062-943-0469,062-943-1134,http://
127-86-44175,(주)데코페이브,박문석,"부산광역시 부산진구 가야대로424번길 69,","3동 301층(개금동,풍신빌딩)",031-535-3677,02-508-5599,http://www.decopave.co.kr/
127-86-52151,(주)덕수케미칼,이철용,경기도 양주시 은현면 은현로107번길 95-29,,031-868-2090,031-862-2534,
314-86-25073,(유)아이엘에스,오경아,전라북도 익산시 서동로 150 (마동),,063-236-0950,063-236-0951,http://www.ledils.co.kr
314-86-36551,(주)중앙알텍,"김성진, 백현옥","대전광역시 서구 월평북로 95, 1005 (월평동, 만년오피스텔)",,042-484-8899,042-488-0346,http://www.jaaltec.com
314-86-37453,(주)한신타올공업,이경세,대전광역시 대덕구 방두말3길 22 (평촌동),,042-932-8181,042-932-8811,http://www.kstowel.co.kr
314-86-39539,(주)한빛라이팅,차교선,대전광역시 대덕구 상서당1길 52-8(상서동),,042-522-3475,042-522-3477,http://
314-86-42432,케이지포장건설(주),이종춘,"대전광역시 유성구 왕가봉로24번길 15, 103호(노은동, 노은시티빌)",,042-826-9533,042-826-9534,http://kgpojang@hanmail.net
314-86-53943,(주)피플카,강석현,"대전광역시 유성구 도안대로 563-1, 1층(봉명동)",,042-716-5600,042-718-9302,https://peoplecar.co.kr
314-86-58860,(주)대한알미늄,양희교,"대전광역시 유성구 진잠로106번길 5-20 , 1층 (원내동)",,042-542-9501,042-542-9502,http://
314-86-61220,(주)디자인라이팅,손미영,대전광역시 유성구 동서대로179번길 61,예가빌딩 3층,042-489-7784,042-472-7574,http://
315-02-54678,명진산업,유익현,충청북도 청주시 서원구 성화로 20-21,,043-237-7203,043-237-7204,www.명진산업.net
315-81-05148,(주)우성콘크리트,조태남,충청북도 괴산군 문광면 대명길 36-8,,043-833-3273,043-834-3274,http://
306-81-02598,(주)한국아트라스비엑스,최석모,대전광역시 대덕구 대전로1331번길 185 (대화동),,042-620-4309,042-623-9381,www.atlasbx.co.kr
306-81-30401,대전아스콘(주),홍봉기,대전광역시 대덕구 대화로32번길 279 (대화동),,042-621-2812,042-621-2814,
306-81-31185,국보환경(주),임종빈,대전광역시 동구 산내로450번길 13 (하소동),,042-274-7301,042-274-7304,
306-81-34805,한밭케미칼(주),강종원,"대전광역시 대덕구 대덕대로1284번길 295-12 (신일동,8)",,042-932-5002,042-932-4111,
138-81-18430,(주)홍성브레이크,이성묵,충청남도 홍성군 갈산면 내포로 1607-24,,041-630-2500,041-630-2525,
138-81-18497,(주)에이코,오성환,"경기도 안양시 동안구 학의로 268 (관양동,안양메가밸리813호~814호)",,031-344-6600,031-420-4451,
138-81-21314,(주)코아테크코리아,전종환,"경기도 의왕시 이미로 40, 디동 521호 (포일동, 인덕원아이티밸리)",,031-650-3232,031-650-3233,http://www.core21.co.kr
138-81-27040,한신피앤엘(주),이진환,"경기도 안양시 동안구 흥안대로 127, 305호 (호계동, 한신빌딩)",,031-452-6131,031-452-6133,http://
138-81-47634,엘에스전선(주),명노현,"경기도 안양시 동안구 엘에스로 127 (호계동, LS타워 12~17층)",,02-2189-9114,031-428-4482,http://www.lscable.co.kr
138-81-56069,(주)에스와이,유재근,경기도 화성시 남양읍 신남로 258,,031-427-5935,031-356-3531,http://
138-81-57317,(주)씨엘테크,윤송자,경기도 안양시 만안구 예술공원로42번길 24(안양동),,031-445-6844,031-389-6041,
138-81-58316,에이로마(주),백남현,경기도 안양시 만안구 전파로 66 (안양동),,031-477-2696,031-477-0216,
138-81-63916,(주)케이씨애니헬,이성열,경기도 용인시 처인구 백암면 석실로34번길 74,,031-321-3807,031-321-6941,
138-81-65705,(주)파워플러스,김성철,경상남도 진주시 동부로169번길 12,9층 비907호(충부공동),031-427-2456,031-225-2256,http://www.pwrplus.co.kr
138-81-66631,이건비앤코(주),최훈용,경기도 군포시 건건로 243-6 (대야미동),,031-438-2576,031-438-2573,http://
125-81-03469,세진산업(주),이소영,경기도 평택시 서탄면 사리길 53-22,,031-611-2650,031-663-8567,http://
125-81-06942,다성기업(주),강용구,경기도 안성시 보개면 남사당로 53,,031-673-9937,031-674-9934,daseong.net
125-81-12876,(주)한국켄트메타스,김장기,경기도 평택시 진위면 은산길 34-11,,031-667-2522,031-667-2524,
125-81-17037,(주)유니테크,김승겸,경기도 평택시 산단로64번길 48 (모곡동),,031-668-2697,031-667-1751,
125-81-18211,씨카코리아(주),크리스티안 가트만,경기도 안성시 미양면 안성맞춤대로 724,,031-8056-7777,031-8056-7788,http://kor.sika.com
313-81-12978,(주)한국워터미터테크,윤은주,충청남도 천안시 서북구 백석공단4길 8 (백석동),,041-554-5752,041-554-5751,
313-81-13448,(주)일아그린,김민석,"충청남도 서천군 종천면 충서로 513-90, 1층",,041-951-8170,041-951-8171,
313-81-14942,(주)삼남,이준우,충청남도 서천군 판교면 대백제로 2220,,041-951-9563,041-951-9565,http://
313-81-17070,(주)보창아스콘,권주광,충청남도 보령시 웅천읍 충서로 1389-36,,041-932-3227,041-934-5962,http://
313-81-17411,(주)에이지,"민성기,홍미순","경기도 성남시 분당구 성남대로 295, 에이동 418호(정자동, 대림아크로텔)",,041-935-2020,041-933-1336,www.az2007.co.kr
313-81-17783,후암석재(주),장시용,충청남도 서천군 장항읍 장항공단길 97,,041-956-4443,041-956-4449,http://
313-85-06625,주영에스티에스(주)보령사업소,김송일,충청남도 보령시 웅천읍 산업단지길 39,,041-934-1060,041-934-1066,
314-13-72306,재경실업,이향미,"대전광역시 중구 대둔산로 419, 2층 202호",,042-282-5486,042-282-5488,
314-14-48079,신일타일,이흥기,세종특별자치시 금남면 용포2길 22,,044-862-5277,044-862-5274,http://
314-18-60620,벧엘비닐화학,정안수,대전광역시 유성구 진잠로124번길 5-22,,042-544-8880,041-754-8555,http://
314-42-00739,얼쓰바이어스,강순연 외 1명,경상남도 창원시 의창구 신월로 27,,000-000-0000,055-261-2418,http://
314-81-01120,영보화학(주),이영식,충청북도 청주시 흥덕구 강내면 서부로 230-23,,043-249-9355,070-7117-0205,http://www.youngbo.com/
314-81-07750,(주)제일,안중민,대전광역시 서구 갈마역로 155,"602호 (월평동, 둔산테크노)",042-472-5001,042-472-5013,
305-86-05132,영남강철(주),최성대,대전광역시 동구 태전로 84 (삼성동),,041-753-5648,041-752-6110,
124-86-30615,(주)쌍용씨앤비,박세훈,세종특별자치시 조치원읍 번암공단1길 16,,02-829-8900,02-829-8998,http://www.sycnb.co.kr
124-86-32971,빌드켐(주),하상욱,충청남도 공주시 우성면 보흥1길 116-36(우성농공단지),,041-858-1160,041-858-1164,
124-86-33946,에코그린(주),성중민,"경기도 화성시 장안면 장안로 220-6, 1층",,031-352-4326,031-352-4328,www.egpla.com
124-86-33970,(주)씨엔텍코리아,"김영연, 김성진","경기도 화성시 우정읍 매바위로237번길 86-25, 1층",,031-353-4092,,www.cntkor.com
118-81-00601,(주)유한양행,이정희,서울특별시 동작구 노량진로 74 (대방동),,02-828-0181,02-828-0140,http://www.yuhan.co.kr
118-81-01162,미주엔비켐(주),"박제천, 박윤철",인천광역시 남동구 함박뫼로318번길 30 (논현동),,02-821-7616,032-814-5720,http://www.mijoocorp.com
118-81-15477,스페이스개발(주),안병삼,"경기도 부천시 경인로392번길 46, 306 (소사본동, 소사프라자빌딩)",,032-341-5713,032-341-5714,http://www.smartwasher.co.kr
118-81-21381,신양산업개발(주),김준영,충청북도 청주시 청원구 오창읍 후기길 50-42,,043-217-6700,043-217-6702,http://
118-81-23128,애경특수도료(주),신상용,"서울특별시 마포구 양화로 188, 9층 (동교동,애경타워)",,02-6901-6671,02-6901-6990,http://www.aekyungpaint.com
137-17-38276,에코수전,이광영 외 1명,경기도 김포시 대곶면 대곶남로 360-4,,032-566-5409,032-566-5410,ecofaucet.co.kr
137-17-94166,우진코리아(WOOJINKOREA),류재협,경기도 김포시 양촌읍 황금3로7번길 66,,031-981-8593,031-981-8598,
137-19-38983,해신체어,연봉흠,인천광역시 서구 세자봉로100번길 19,,032-564-8056,032-563-4487,http://hschair.com
417-81-50459,(주)리콘,황종필,"전라남도 장성군 장성읍 단풍로 190, 2층",,061-395-1140,061-394-1142,http://re-con.kr
417-86-01351,비손케미칼(주),이강혁,"경기도 시흥시 군자천로185번길 36 (정왕동, 시화단지2다308호)",,031-925-0101,031-432-0122,http://
418-08-90747,전주풀,이상수,전라북도 전주시 덕진구 신흥마을길 1591층(고랑동),,063-211-4054,063-211-4054,http://
418-39-00706,클릭에코텍,류호영,경상북도 청도군 풍각면 봉기1길 32-9,A동,054-371-7119,050-4080-5743,http://
418-81-03041,(유)동성아스콘,송봉석,전라북도 전주시 완산구 전주객사3길 49 (고사동),,063-537-6472,063-537-6400,http://
418-81-21151,(유)청솔아스콘,이진희,전라북도 무주군 안성면 진성로 2502-41,,063-323-2755,063-323-2749,http://
418-81-22198,(주)자연담은,박광섭,전라북도 익산시 선화로 470-6,(신흥동),063-278-0372,063-278-7365,www.wnpaint.co.kr
418-81-24589,OK아스콘(유),문성훈,전라북도 진안군 진안읍 반월길 29,,063-433-5609,063-433-5611,http://
418-81-36009,(주)한국폴리우드,은희준,전라북도 부안군 행안면 옥여길 33,,063-581-0479,063-581-0478,
418-81-40779,(유)에스지우드,권정옥,전라북도 전주시 덕진구 새논밭길 24,,063-252-0407,063-252-0408,http://
208-21-55079,애맥스,김영식,경기도 화성시 마도면 청원산단4길 33,,031-434-9006,031-434-9290,
208-81-25899,은성라이팅(주),지필호,경기도 남양주시 오남읍 경복대로 120-36,,031-527-9863,031-527-9883,http://
209-02-55218,혜창미가엘,이창호,경기도 파주시 광탄면 벌만장길 216-20,,031-954-5775,031-954-5774,
209-81-20126,주식회사 글로윈스,김미숙,경기도 남양주시 진접읍 부마로 33,,031-529-0277,031-529-0273,
209-81-29165,유니온라이트(주),원철상,서울특별시 도봉구 우이천로4다길 47 (창동),,02-906-0700,02-906-0600,http://
209-81-44133,(주)세명크리텍,박기형,서울특별시 성북구 보국문로 13,"(정릉동,3층)",02-983-5000,02-984-2305,http://
209-81-45210,(주)티에스자바,김태원,"서울특별시 성북구 안암로5길 40 (안암동4가 , 자바빌딩)",,02-943-7748,02-943-7782,www.tsjava.com
412-81-11975,(주)그린특수산업,박용섭,전라남도 영암군 군서면 군서공단로 41,,061-471-0051,061-471-2238,http://
412-81-14119,(주)미래,진익준,전라남도 나주시 다도면 다남로 190,,061-337-9070,061-337-9074,http://
412-81-15331,천지환경(주),최명순,전라남도 함평군 함평읍 함영로 1685-15,,061-323-1882,061-323-5881,
412-81-16795,국보산업개발(주),강흥식,"전라남도 나주시 그린로379, 529호 (빛가람동,포레루체오피스텔)",,031-714-7655,031-714-7674,
412-81-18890,(주)이화폴리텍,김성애,전라남도 나주시 남평읍 남평향교길 105,,062-944-9022,062-944-9024,http://www.leehwa.kr
412-81-23321,(주)금성필름,김용동,전라남도 함평군 학교면 동함평산단길 22,,061-323-3236,061-323-3113,http://
412-81-23904,천일산업(주),황선주,전라남도 영암군 삼호읍 용앙로 492,,061-464-1100,061-462-2001,http://
412-81-26857,(주)금강교구,신상구,전라남도 나주시 남평읍 풍림남석길 55-60,,061-331-8645,061-331-8646,
511-81-10201,부흥콘크리트(주),김태영,경상북도 의성군 다인면 가원농공길 26,,054-861-6188,054-861-8887,http://
511-81-15899,건우산업개발(주),신윤교,"경상북도 문경시 마성면 은성로 1379, 1층",,054-571-2015,054-571-2014,
511-81-16938,(주)우주산업,강영애,경상북도 의성군 단밀면 도안로 562-53,,054-861-0945,054-861-0946,http://www.세굴방지블럭.com
511-81-20301,(주)그린테크원,김종기,"경상북도 상주시 헌신공단길 12 (헌신동, 외답농공단지2차)",,054-531-0941,054-531-0943,www.식생블럭.net
