articles,categories,dates,titles
"[서울신문]문재인 대통령은 1일 충북 진천의 한화큐셀을 방문해 “한화큐셀을 업어 드리고 싶다”면서 “노사 대타협으로 노동시간을 줄이고 그만큼 더 채용하는 일자리 정책의 가장 모범적인 사례를 보여 줬다”고 높이 평가했다. 문 대통령이 취임 이후 국내에서 특정 재벌의 사업장을 방문한 것은 이번이 처음이다.한화큐셀 진천·음성사업장은 태양광 셀 생산시설로 단일 규모로 세계 최대다. 이 회사는 현행 주 56시간 근무를 오는 4월부터 주 42시간으로 근로시간을 25% 단축한다. 3조 3교대를 4조 3교대로 바꿔 생기는 부족한 인력은 지역청년 500여명을 채용해 보충할 방침이다. 근무시간을 줄여도 임금은 기존의 90% 이상을 유지한다고 노사가 합의했다. 정부는 삶의 질 개선 차원에서 노동시간을 주 52시간으로 단축하는 여야 합의안을 지지하며 2월 국회 통과를 희망하고 있다.문 대통령은 이날 ‘한화큐셀 노사 일자리 나누기 공동선언식’에 참석해 “진정한 사회적 대타협이고 노사화합”이라며 “좋은 일자리 늘리기와 청년 일자리 창출, 또 대부분이 지역 특성화고 등에서 배출된 지역인재 채용의 아주 모범적인 사례”라고 평가했다. 이어 “6일 근무하고 하루 휴무하던 것을 4일 근무하고 하루 휴무하게 되고, 더욱 일찍 퇴근하게 됐기 때문에 휴식 있는 삶이 가능하게 됐다”며 “기업이 이런 노력을 함께해 준다면 노동시간 단축과 좋은 일자리 나누기 모두 해결할 것으로 생각한다. 청년 고용절벽을 해결하는 길”이라고 강조했다.문 대통령은 한국산 태양광 패널에 대한 미국의 세이프가드(긴급수입제한 조치)에 대해서는 “정부가 두 손 놓지 않고 기업 피해가 없도록 또는 최소화되도록 노력하겠다”고 말했다.미국 정부는 지난달 말 삼성·LG 등 외국산 세탁기와 태양광 패널에 대해 세이프가드를 발동했다. 세이프가드란 특정품목 수입이 급증해 자국 기업이나 산업에 심각한 피해가 우려되는 경우 관세 인상과 수입물량 제한 등을 통해 규제하는 무역장벽이다. 문 대통령은 행사 직후 김승연 한화그룹 회장의 안내로 생산라인을 둘러봤다. 이 자리에는 김 회장 외에도 금춘수 한화그룹 부회장과 이용섭 일자리위원회 부위원장, 백운규 산업통상자원부 장관, 임종석 대통령 비서실장, 장하성 청와대 정책실장 등이 함께했다.임일영 기자 argus@seoul.co.kr▶  재미있는 세상[]▶ [] []ⓒ 서울신문(), 무단전재 및 재배포금지",,,"文대통령 “일자리 모범 한화큐셀, 업어주고 싶다”"
"[아시아경제 박종일 기자] 지난해 청년 실업률이 9.9%로 역대 최고치를 기록하며 취업한파가 지속되고 있다.영등포구(구청장 조길형)가 청년 취업난 해결을 위한 ‘2018 서울형 뉴딜일자리’ 사업을 발굴하고 참여자를 모집한다.뉴딜일자리는 지역 특성에 맞는 공공서비스를 일자리로 창출해 제공하는 취업지원 프로그램으로 청년들에게 업무 경험을 쌓고 직업역량을 키울 수 있는 기회를 제공하는 사업이다.구는 참여 기간 동안 직무교육을 병행하며 민간 일자리로의 취업을 돕고 있다.올해 모집 사업은 홍보, 교육, 복지, 안전 등 5개 분야로 총 26명을 모집한다. 구는 단순 사무보조 업무에서 벗어나 직무 노하우를 습득할 수 있도록 전문 사업을 강화했다.특히, 블로그, 인스타그램 등 청년들의 소셜 네트워크 활동이 활발해짐에 따라 ‘내가 바로 미디어 ·홍보 스페셜리스트’ 분야를 새로 추가해 SNS 활용 능력을 발휘할 수 있는 자리를 마련했다.또, 복지시대 흐름에 맞춰 발달장애인의 사회성 증진에 도움을 줄 ‘발달장애인 직무지도원’과 맨홀 사고 방지 등 도로안전을 위한 ‘도로 및 시설물 유지관리’ 등도 추가함으로써 직무 경험의 다양성을 확보했다.지원 대상은 서울에 거주하는 18세 이상 39세 이하의 청년이며 사업별 상세 자격요건, 업무내용, 근로조건, 제출서류 등 관련 사항은 영등포구 홈페이지(www.ydp.go.kr)나 서울일자리포털(http://job.seoul.go.kr/newdeal)에서 확인하면 된다.근무시간은 주 5일 1일 6시간에서 8시간까지 사업별로 상이하며 12월 31일까지 근무하게 된다. 급여는 2018 서울형 생활임금(시급 9220원)을 적용, 주 ·연차 수당을 포함해 최대 195만원까지 받을 수 있다.신청은 2일부터 8일까지 각 사업부서로 접수하면 된다.구는 뉴딜 참여자들의 직업역량강화를 위해 취업기초(진로 글쓰기/면접/PT기술) 교육은 물론 직무교육 등 다양한 취업지원프로그램을 운영할 계획이다.조길형 영등포구청장은 “뉴딜일자리에서의 경험을 발판삼아 민간 일자리 취업 시 책임감 있고 진취적인 일꾼으로서 성장할 수 있기를 바란다”며 “계속되는 취업 실패로 떨어진 자신감을 회복하고 취업 역량을 키울 수 있도록 지역사회 청년 네트워크 활성화 및 다양한 청년 정책을 지원하겠다”고 전했다.박종일 기자 dream@asiae.co.kr",,,"영등포구, 홍보 등 청년 뉴딜일자리 모집"
"정부, 제2차 노인일자리 종합계획 수립안전사고 보상 강화위해 '실버보험' 도입 추진(서울=연합뉴스) 신재우 기자 = 정부가 저출산·고령화 심화에 따른 성장동력 약화에 대비하기 위해 노인의 역량을 강화하고 양질의 일자리를 제공하기로 했다.보건복지부는 사회보장위원회 심의를 거쳐 '2018-2022 제2차 노인일자리 및 사회활동 종합계획'(앙코르 라이프 플랜)을 확정했다고 9일 밝혔다.제2차 노인일자리 종합계획은 '보람 있는 일, 활기찬 노후, 행복한 사회'라는 비전 아래 노인일자리 80만개 제공, 민간일자리 창출 기반 확립, 노인 역량 강화, 사회활동 참여 활성화를 달성하기 위한 전략을 담고 있다.'2013∼2017 제1차 종합계획'은 노인 일자리의 양적 확대에 초점이 맞춰졌으며 지난해 기준으로 43만7천개의 일자리가 제공됐다. 제2차 계획은 참여자 역량에 맞게 양질의 일자리가 제공하는 데 중점을 둔다.정부는 앞으로 참여자의 역량과 직무를 평가하고 개인별 활동계획서에 기초해 적합한 일자리에 연계해주는 서비스를 제공한다.이를 위해 직무역량지표를 개발하고 사이버대학, 직업전문대학 등과 협력해 노인 대상 전문적인 직업교육 프로그램을 개발한다는 계획이다.일하는 노인에 대한 보호도 강화해 '작업장/일자리 수요처 행동 강령'을 마련하고 안전사고 보상 강화를 위해 '실버보험' 도입을 검토키로 했다.정부는 역량에 맞는 일자리를 발굴해 연결하는 서비스 인프라를 구축한다.노인일자리 참여자를 활용해 지역 내 일자리를 발굴하고, 발굴된 정보를 현행 노인일자리 포털인 백세누리 시스템에 올려 산재한 일자리 정보를 체계적으로 제공한다.또 일선 현장에서 노인일자리 참여자 모집, 활동처 및 활동 프로그램 발굴, 활동 관리 등을 담당하는 전담인력의 처우개선을 추진한다.전담인력의 급여를 단계적으로 인상하고 2018년부터 고용기간을 현행 11개월에서 12개월로 확대해 고용 안정성과 전문성을 확보하기로 했다.정부는 노인을 전략 직종에 채용하거나, 장기 채용한 기업에 대해 지원을 강화한다. 양질의 일자리에 노인을 다수 고용한 기업을 우수 노인고용기업으로 인증해 사회보험료, 홍보, 환경개선비 등을 지원한다.사회공헌을 희망하는 노인을 위한 일자리 기회도 확대하기로 했다.베이비부머, 전문직 은퇴자의 경력과 전문성을 활용해 치매공공후견인 등 사회적 공공서비스를 보완하는 일자리를 추진한다.공익활동은 지역 특성에 맞거나 지역 수요가 높은 사업에 대해 수당을 차등지원하는 등 지역특화사업을 육성해 노인일자리의 지역사회 기여도를 높인다.임인택 보건복지부 노인정책관은 ""고령화가 심화하면서 일할 능력과 의사가 있는 어르신이 더 오랫동안 사회에서 활동하는 것이 중요해지고 있다""면서 ""이번 계획이 양질의 일자리가 확대되는 계기가 될 것""이라고 말했다.withwit@yna.co.kr",,,2022년까지 노인일자리 80만개 만든다…직업교육도 강화
"정부가 현재 46만7000개인 노인 일자리를 2022년까지 80만개로 늘린다. 일하는 노인이 안전사고를 당했을 때를 대비한 ‘실버보험’ 도입도 검토한다.보건복지부는 9일 ‘2018-2022 제2차 노인일자리 및 사회활동 종합계획’(앙코르 라이프 플랜)을 밝혔다. 제2차 계획은 ‘보람 있는 일, 활기찬 노후, 행복한 사회’라는 비전 아래 참여자 역량 및 보호 강화,  인프라 강화, 안정된 민간일자리 확대, 사회공헌일자리 지원 등 4개 분야 19개 이행과제를 담고있다. 제1차 종합계획(2013~2017)이 노인일자리의 양적 확대에 초점을 맞췄다면 제2차 계획은 참여자 역량에 맞는 양질의 일자리를 제공하는 데 중점을 뒀다고 복지부는 설명했다.정부는 앞으로 노인 일자리 참여자의 역량과 직무를 평가하고, 개인별 활동계획서에 기초해 적합한 일자리에 연계해주는 서비스를 제공한다. 이를 위해 직무역량지표를 개발하고 사이버대학, 직업전문대학 등과 협력해 노인 대상 전문적인 직업교육 프로그램을 개발할 계획이다. 일하는 노인에 대한 보호도 강화한다. ‘작업장·일자리 수요처 행동 강령’을 마련하고 안전사고 보상 강화를 위해 ‘실버보험’ 도입을 검토한다.적합한 일자리를 발굴해 연결해주는 서비스 인프라도 구축한다. 우선 노인일자리 참여자를 활용해 지역 내 일자리를 발굴하고, 현행 노인 일자리 포털인 ‘백세누리 시스템’에 발굴한 정보를 공유한다. 또 노인 생산품 품질 관리 체계를 구축해 민간 노인 일자리가 성장할 수 있도록 촉진한다. 노인생산품의 낮은 인지도와 판로 제한 등 한계를 극복하기 위해 우수 노인생산품을 공동 브랜드화하고, 홈쇼핑과 온라인 쇼핑몰로 판로를 확대한다.노인일자리 전달체계도 강화한다. 일자리 사업 참여기관을 기존 노인복지관, 시니어클럽에서 사회적 경제기관으로 확대하고 일자리 부정수급 신고센터를 운영한다. 이와 함께 일선 현장에서 노인일자리 참여자 모집, 활동처 및 활동 프로그램 발굴, 활동 관리 등을 담당하는 전담인력의 처우개선을 추진한다. 전담인력의 급여를 단계적으로 인상하고 올해부터 고용기간을 현행 11개월에서 12개월로 확대한다.단순·단기 직종이 아닌 양질 일자리를 제공하기 위한 기반을 마련한다. 노인을 전략 직종에 채용하거나 장기 채용한 기업을 우수 노인고용기업으로 인증해 사회보험료, 홍보, 환경개선비 등을 지원한다. 제조업, 서비스업 등에서 숙련 기술직 은퇴자를 ‘청년 멘토’로 고용한 기업도 지원 대상이다. 사회공헌을 희망하는 노인을 위한 일자리도 확대한다. 베이비부머, 전문직 은퇴자의 경력과 전문성을 활용해 치매공공후견인 등 사회적 공공서비스를 보완하는 일자리를 만든다.임인택 보건복지부 노인정책관은 “고령화가 심화하면서 일할 능력과 의사가 있는 어르신이 더 오랫동안 사회에서 활동하는 것이 중요해지고 있다”면서 “이번 계획이 양질의 일자리가 확대되는 계기가 될 것”이라고 말했다.▶ 경향신문 SNS▶©경향신문(), 무단전재 및 재배포 금지",,,노인 일자리 2022년까지 80만개로 늘린다
,,,중견기업 5500개로 늘려 일자리 13만개 만든다
"정부가 올해부터 오는 22년까지 5년간 실행할 2차 노인일자리 종합대책을 9일 내놓았다. 지난해 끝난 1차 계획이 노인일자리의 양적 확대에 초점이 맞춰졌다면 이번 2차 계획은 참여자 역량에 맞는 양질의 일자리가 제공되도록 정책의 패러다임을 전환하는데 중점을 뒀다는 게 정부 설명이다.이를 위해 참여자 역량 및 보호 강화, 인프라 강화, 안정된 민간일자리 확대, 사회공헌 일자리 지원 등 4대분야 19개 과제를 마련해 시행해 나가기로 했다. 참여자의 역량과 직무를 평가해 적합한 일자리에 연계되도록 하고 기존의 단순 소양 중심의 노인일자리 교육에서 벗어나 사이버대학, 직업전문대학 등과 협력해 노인 대상 전문적인 직업 교육 프로그램을 개발확대한다는 등의 내용을 담고 있다.하지만 숫자 놀음에 그치고 있다는 느낌을 지울 길이 없다. 정부는 올해에만 1조2524억원(국비 6349억, 지방비 6175억)을 들여 51만개의 일자리를 만들겠다는 계획이다. 공익활동 37만2000개(70.3%), 시장형 8만6000개(16.7%), 재능나눔 5만2000개(10.2%) 등이다. 내용이 종전과 다를 게 없다.노인들은 젊은이들과 달리 할만한 일이 한정되는 것도 사실이다. 그동안 수요 부족으로 노인일자리 예산을 받지 않겠다는 지자체가 한둘이 아니었다. 기존 노인 인력이 하던 일을 ‘1일 2교대’로 근무 형태만 바꿔 소화하는 지자체도 나타났다. 그런데 지난해 43만7000개보다 7만3000개나 올해 목표는 늘어났다. 올해도 이같은 부작용이 재발되지 않으리란 보장이 없다.게다가 본질에 접근하지 못하고 있다. 오늘날 노인일자리 문제는 경제적 필요에서 비롯됐다. 우리나라 실버세대 가운데 공적연금이든 사적연금이든 최근 1년간 연금을 받은 사람은 절반도 안된다. 연금을 받는 사람도 한 달에 손에 쥘 수 있는 금액은 52만원에 불과하다. 노인들이 일하는 목적은 대개 생활비 충당이다. 생활고가 노년층을 취업시장으로 내모는 것이다.하지만 보육시설 봉사나 청소년 선도 등이 주 업무인 공익활동은 월 27만원이 주어진다. 상담이나 학습지도 등을 하는 재능나눔은 그보다 적아 고작 한달에 10만원이다. 실버카페나 반찬가게 등 시장형 사업에도 연 최대 210만원이 지원될 뿐이다. 일종의 수당과 다름없다. 실제 지원 명목도 활동비다. 노후 최소 생활비는 177만원이란 설문조사도 있다. 이래서는 복지도 아니고 생계수단도 못된다. 노인 일자리도 청년 일자리와 마찬가지다. 질좋은 일자리 중심이 되어야 한다.- Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -",,,[사설]숫자 놀음에서 벗어나야 할 노인일자리 대책
"【밀양=뉴시스】안지율 기자 = 경남 밀양시는 2018년부터 2022년까지 5년간 150개 기업을 유치하고 1만5000명의 일자리를 창출할 계획이라고 13일 밝혔다.밀양시는 이를 위해 나노융합 국가산업단지 조성 등 기업유치를 통한 양질의 일자리를 창출하고, 청년·여성·취약계층을 위한 일자리 시책·발굴 정책을 최우선 시정과제로 삼는 일자리 종합대책을 추진키로 했다.또 시민의 행복한 삶을 위한 좋은 일자리 창출을 정책목표로 정하고 전략과제 5개 부문 21개 세부이행사업을 시행하기로 했다.5개 부문은 ▲일자리 창출에 시정역량 집중 ▲일자리 인프라 구축 ▲공공 일자리 창출 ▲민간 일자리 창출 ▲일자리 질 개선과 맞춤형 일자리 지원 등이다.시는 먼저 일자리 창출 시정역량 집중을 위해 일자리 창출 T/F팀 구성하고, 정부 일자리정책 5개년 로드맵에 따른 시책 개발, 밀양형 대표 맞춤형 일자리 발굴, 청년들을 위한 찾아가는 채용설명회를 개최한다.또 경영과 구인난을 겪는 기업에는 맞춤형 고용서비스를 지원하고, 기업 현장과 청년 등 수요자 중심의 일자리 미스매치 해결, 더 좋은 일자리 창출로 행복한 미래도시를 위한 시정역량 강화에 온 힘을 쏟기로 했다.일자리 인프라구축을 위해서는 지역 일자리 목표(전년도 고용률 61.3%⇒66.2%)달성을 위해 일자리지원센터 홈페이지 구축과 희망 드림 취업 지원센터 건립, 일자리 창출 우수기업 인증제를 통해 고용실적이 탁월한 기업을 장려하는 등 기업의 일자리 확산을 유도하기로 했다.밀양 청년 2000 채움 공제 사업을 통해 30여 명의 청년고용을 창출하고, 대학생 아르바이트 일자리를 늘려 직장생활 체험을 통해 일의 의미를 찾고 진로를 탐색할 기회를 제공하는 등 인프라 구축을 통한 일자리 창출에 적극 나선다.공공일자리 창출에는 공공부문 비정규직 근로자 정규직 전환 추진과 국·도비 공모사업 신청, 공공근로사업 확대(청년 40명 모집), 읍·면·동 신규 일자리 창출, 지역공동체 일자리, 노인 일자리와 사회활동 등을 지원한다.시는 또 독거노인 안전 지킴이 사업 외 18개 분야(국·도·시비 28억 8900만원)에 1100명의 일자리 고용을 창출할 계획이다. 정규직 일자리 취업을 촉진하면서 서민·청년층에 더 많은 일자리를 지속적으로 제공키로 했다.민간일자리 창출에는 지역공동체 활성화 지원 사업으로 사회적 기업과 마을기업 지원과 육성사업, 마을공방 육성사업, 지역공동체 만들기 사업 등 8억 4600만원 사업비를 지원해 총 9개 사업에 100여 명의 일자리를 창출한다는 계획이다.일자리 질 개선과 맞춤형 일자리 지원에는 희망 드림 취업 지원센터 건립 후 청년들의 취·창업 지원을 위한 상담실과 스터디룸, 교육장, 창업체험관과 외국인 근로자 쉼터, 편의시설을 마련할 예정이다.시는 일자리 채용박람회를 개최하고 여성 공동 작업장 운영으로 30명의 고용을 창출하며 밀양 고용·복지 플러스센터 내 전문 직업 상담사를 통한 맞춤형 취업 지원서비스를 제공하며. 구인·구직 상담, 고용정보 제공, 취업알선, 동행면접 등 일자리 연계 서비스를 제공한다.이를 위해 지난 1월1일 시는 일자리종합대책 추진을 위해 부시장 직속 일자리창출담당관을 신설해 밀양형 일자리 시책 발굴·추진은 물론 각 부서 일자리 사업의 컨트롤타워 역할을 담당하도록 했다.한편 시는 국내 최대의 일자리 창출 효과를 가져올 나노융합 국가산업단지와 국립 밀양기상과학관, 아리랑 우주천문대, 국립생물 자원관 건립, 농어촌관광휴양 단지, 하남 일반산업단지 외 4개 단지 등을 조성하고 있다.alk9935@newsis.com▶ 뉴시스 SNS",,,"밀양시, 5년간 150개 기업유치… 1만5000명 고용 창출"
"한국토지주택공사(LH)는 핵심기능인 공공주택건설 등 공공투자 확대와 임대주택 100만호 관리 및 주거복지서비스 확대 등으로 지난해 총 26만5000개의 일자리를 창출했다고 1일 밝혔다.또한 공기업 최대 규모인 1263명 비정규직 전환과 근로조건 개선으로 정부의 좋은 일자리 만들기 정책을 적극 선도했다.공공부문 최대 발주기관인 LH는 지난해 당초 목표보다 3000억원 증가한 12조3000억원 규모의 공공투자로 약 17만7000개의 일자리를 창출했다.고용친화기업 입찰․심사 우대 등 일자리 중심의 조달제도 개선으로 올해 민간부문 일자리 창출이 더욱 확대될 것으로 기대하고 있다.지난해 9월 임대주택 100만호 관리 시대를 연 LH는 주택관리, 입주민 주거복지서비스 등에서 일자리를 계속 확대하고, 주거생활 서비스 브랜드인 ‘무지개서비스’ 도입과 임대주택 플랫폼 공유를 통해 신규 일자리 창출로 주거복지 분야에서 총 8만2000개의 일자리를 만들었다.또한 사회문제 해결을 위한 아이디어를 보유한 청년 창업팀을 선발하여 육성하는 LH 소셜벤처, 판교 지원허브 조성, 스마트시티 해외수출, 민간장기임대 건설지원 등 다양한 분야에서 총 6510개의 일자리를 창출했다.공기업 최대 규모인 총 1263명의 기간제 근로자 정규직 전환으로 작년 초 65.8% 수준이던 정규직 비율을 작년 말에는 79.8%로 대폭 올렸으며, 임금․복지 등 근로조건도 크게 개선했다.지난해부터 지속적으로 추진해온 파견․용역 비정규직 정규직 전환으로 올해에는 '비정규직 Zero 목표'를 달성할 계획이다.이러한 성과를 인정받아 LH는 지난해 7월 기획재정부 주관으로 개최된 '공공부문 일자리 콘테스트'의 일자리 질 제고 부문 1위인 경제부총리상을 수상했다.LH는 사회적으로 가치있는 일자리 창출을 위한 사회적 경제 육성에 앞장서고 있다. 성남여수 등 5개 공공임대주택 단지 내 상가에 사회적 기업을 유치했으며, 새정부 도시재생 뉴딜사업의 하나인 진주 옥봉마을 재생사업에서는 마을 ‘집수리단’을 사회적 기업으로 육성하기도 했다.고용취약계층에 대한 일자리 제공도 대폭 확대했다. 60세 이상 시니어사원 1000명을 채용해 임대주택단지 주택관리․운영․돌봄서비스 등에 활용하고, 여성가족부와 협력해 경력단절여성 220명을 임대주택 거주자 실태조사원으로 채용했다.LH는 올해 청년, 여성 등 사회적 약자를 위한 일자리 발굴과 사회적경제 주체 등과의 협력관계 확대에 주력하고, 지난해 수립한 ‘LH Good Job Plan’에서 한 단계 진화된 'Good Job Plan 시즌2'를 추진할 계획이다.데일리안 권이상 기자 (kwonsgo@dailian.co.kr)ⓒ (주)데일리안 - 무단전재, 변형, 무단배포 금지",,,"LH, 지난해 일자리창출 양과 질 모두 최대 성과 달성"
"서울시가 올해 노인 일자리 6만8000개를 만든다. 다양한 맞춤형 일자리를 제공해 노인빈곤 문제를 해결하고, ‘나이 드는 것이 두렵지 않은 서울’을 만든다는 목표다.서울시는 올 한해 1757억원의 예산을 투입해 총 6만8000개의 노인 일자리를 제공한다고 12일 밝혔다. 지난해보다 12.4% 증가한 규모다.일자리는 공익활동형·시장형·인력파견형 3개 분야로 나뉜다. 우선 공익활동형은 만 65세 이상 기초연금 수급자가 노노케어(건강한 노인이 다른 노인을 돌보는 제도), 공공시설 관리, 취약계층 지원 등 다양한 사회공헌 활동에 참여하는 것이다. 올해 일자리 규모는 5만4364개로, 전체 노인 일자리 사업의 80%에 이른다.시장형 일자리는 만 60세 이상이면 누구나 참여 가능한 사업으로, 지하철·아파트 택배와 쇼핑백 제작 등 공동작업, 식품 제조·판매 등이 있다. 보조금 외에도 작업 수익금이 지급돼 추가 소득 창출이 가능한 것이 특징이다. 올해 사업 규모는 9777개다. 시는 시장형 일자리의 경쟁력을 높이기 위해 경험과 전문성을 가진 50+ 세대(50∼67세) 52명을 ‘어르신일자리 지원단’으로 양성해 일자리 현장에 배치할 예정이다.이밖에 인력파견형 일자리는 만 60세 이상에게 민간 취업 알선을 지원하거나 단기 인력 파견 기회를 제공하는 것으로, 일자리 규모는 3082개다.이 같은 노인 일자리 사업은 참여 노인들에게 수입원이 되는 것은 물론 삶의 원동력 역할을 하고 있다. 유모(69·여)씨는 지난해 공익활동형 일자리 사업을 통해 은평구 응암노인복지관에서 ‘수생태해설사’로 활동했다. 아이들에게 식물, 곤충, 물고기 등 자연에 대해 가르치는 일이다. 유씨는 “일을 하면서 ‘이 나이에도 뭔가 할 수 있구나’라는 생각에 보람이 컸다”며 “어릴 때 장래 희망이었던 ‘선생님’의 꿈을 이룰 수 있어 더욱 뜻깊다”고 말했다.시는 올해 서울 환경에 적합한 ‘틈새 어르신 일자리 모델’을 적극 발굴할 계획이다. 폐지수집 노인을 위한 사업을 확대하고, 서울시 공공자전거 ‘따릉이’ 관리 모니터링 사업을 신규 운영한다. 2016년 70명으로 시작해 좋은 호응을 얻은 ‘우리동네 아이돌봄기동대(부모가 급한 일이 생겼을 경우 아이를 같은 동네 노인에게 맡길 수 있는 제도)’는 올해 130명으로 확대한다. 또 노인 일자리 전담 기관인 ‘시니어클럽’을 올해 2곳 추가 설치할 예정이다.김혁 서울시 인생이모작지원과장은 “일자리 사업은 노인들이 사회의 새로운 주도세력으로 자리매김할 수 있도록 돕는 가장 중요한 정책과제”라며 “노인들이 경험·적성을 살릴 수 있는 일을 하며 소득을 얻고 건강한 노후를 누릴 수 있도록 양질의 일자리를 확대하겠다”고 밝혔다.김유나 기자 yoo@segye.comⓒ 세상을 보는 눈, 글로벌 미디어",,,"서울시, 노인 일자리 6만8000개 만든다"
"[머니투데이 이동우 기자] [입주자대표회의, 지난달 31일 경비원 운영 계획 밝혀…노조 ""부당해고 구제 신청""]연초부터 노사 갈등을 빚어온 서울 압구정 구 현대아파트 경비원 94명의 전원 해고가 임박했다. 경비원 노조는 실제 해고되면 부당해고 구제를 신청한다는 입장이다.1일 압구정 구 현대아파트 노동조합에 따르면 아파트 입주자대표회의와 관리사무소는 지난달 31일 '경비원 및 관리원 운영 안내' 공고문을 아파트 단지 게시판 등에 게재했다.공고문에는 현재 정규직으로 직접 고용하고 있는 경비원들을 용역으로 전환한다는 내용이 담겼다. 현대아파트 입주자대표회의는 지난해 12월 28일 경비원 인력을 전원 해고한 뒤 용역업체를 통해 경비원들의 재고용을 추진한다고 밝혔다.공고에 따르면 24시간 근무하는 격일제 경비원을 24명까지 줄이고 나머지 70명은 관리원직을 신설해 전환한다. 관리원은 주차관리, 택배대리보관, 낙엽청소, 재활용 분리·정리 등의 업무를 맡아 하루 3교대로 근무한다고 설명했다.노조 측은 아직 경비원들이 해고 통보를 받지는 않았지만, 해고가 이뤄지는 것은 시간문제라고 본다. 고광찬 현대아파트 노조위원장은 ""해고 통보가 아직 된 것은 아니지만, (입주자대표회의에서) 옳고 그름을 떠나 무조건 밀어 붙이는데 힘없는 근로자들은 방법이 없다""고 말했다.해고가 이뤄지면 경비원들은 고용노동부에 부당해고 구제를 신청한다는 계획이다. 고 위원장은 ""다른 할 수 있는 것이 이제 없다""며 ""부당해고 구제신청을 노동부에 할 수밖에 없다""고 말했다.일방적인 해고 결정에 반발한 경비원들은 서울중앙지법에 효력정지 가처분 신청을 냈지만, 법원은 지난달 30일 신청을 각하했다. 경비원들이 입주자대표회의 결정에 문제를 제기할 법률상 자격이 없다고 봤다.일각에서는 갑작스러운 경비원 전원 해고의 이유로 최저임금 인상 문제를 꼽기도 한다. 하지만 정작 당사자들인 경비원들은 지난해 일부 경비원이 미지급 임금 실태조사를 고용노동부에 의뢰하며 사측과 감정의 골이 깊어진 것으로 본다.입주자대표회의 측은 아무런 입장을 내놓지 않고 있다. 관리사무소 관계자는 ""밝힐 입장이 없다""며 ""입주자대표도 언론과 접촉을 안 하는 상황""이라고 말했다.이동우 기자 canelo@",,,"압구정현대 경비원 전원 해고 임박…""구제 신청"""
"(울산=뉴스1) 이윤기 기자 = 울산 북구는 올해 3월부터 시작되는 지역공동체일자리사업 참여자를 모집한다고 1일 밝혔다.북구는 3월부터 10월까지 1억7400만원을 투입해 지역공동체일자리사업을 추진한다. 중소기업 취업지원과 시책일자리사업, 다문화가정 지원사업, 마을가꾸기, 지역유휴공간 및 시설활용 사업 등 6개 사업 분야가 대상이다.1차 사업기간은 3~6월로, 오는 9일까지 19명을 모집한다.지역공동체일자리사업은 만 18세 이상 근로능력자로서, 가구소득이 기준 중위소득 60% 이하이면서 재산이 2억원 이하인 주민이다.단 국민기초생활 수급자와 사립학교 교직원 포함한 공무원 가족, 접수 시작일 기준 연속해 2년 초과 동일 유형의 재정지원 일자리사업에 반복 참여한 자, 접수 시작일 이후 재정지원 전일제 일자리사업 참여자, 또는 참여 중 중도에 포기한 자 등은 선발 대상에서 제외된다.참여 희망자는 구·군 홈페이지, 읍·면사무소, 동주민센터에서 신청서와 건강보험료·금융정보제공 동의서 등을 작성하고 신청자 본인을 확인할 수 있는 증명자료를 지참해 주소지 동주민센터를 찾아 신청하면 된다.주 30시간 이내 근무해야 하지만 만 65세 이상 노령자는 주 15시간 이내 근무를 원칙으로 한다. 다만 구군별, 사업장별 여건에 따라 주간 최대 근무시간 내에서 근무 일수 조정이 가능하다.참여자에는 시간당 최저임금 7530원이 지급되고, 간식비 등으로 1일 5000원이 별도 지급된다. 접수 신청자에 대한 소득 및 재산조회, 배제대상 여부 등 심사과정을 거쳐 오는 23일 최종 사업 참여자를 확정할 예정이다.bynaeil@",,,"울산 북구, 지역공동체일자리사업 참여자 모집"
"가상화폐 거래소 코인네스트는 대규모 정규직 채용을 실시한다고 5일 밝혔다.이번 채용은 개발, 엔지니어, 디자인, 퍼블리셔, 운영, 고객서비스(CS), 해외사업, 사업개발, 마케팅, 언론홍보, 보안, 정보보호, 정책관리, 기술보안, 경영지원 등 전 분야에 걸쳐 이뤄진다.특히 코인네스트는 지원자가 스스로 제안하는 '자기추천' 채용 방식을 마련했다.자기추천 채용은 지원자가 코인네스트에 필요한 분야라고 생각되는 포지션을 스스로 제안하고 입사하는 방식이다. 지원할 수 있는 분야가 '없으면, 만든다'는 자유롭고 주도적인 채용 방식이다.김익환 코인네스트 대표는 ""적극적으로 자신의 재능과 열정을 보여주는 지원자를 우대한다""며 ""블록체인 기술을 알리는 것은 가상화폐 거래소의 의무이며, 채용 확대는 기업의 이익 환원은 물론 사회적 책임을 다하기 위한 것""이라고 말했다.김민수기자 minsu@dt.co.kr//김민수",,,"가상화폐 거래소 코인네스트, 100여명 신규 채용"
